Part           	Vertex         	Longitude (dd) 	Latitude (dd)  	Z (Meters)     
1              	269            	172.6893011°E  	43.7333326°S   	0              
1              	270            	172.6866551°E  	43.7367135°S   	0              
1              	271            	172.6860445°E  	43.7417940°S   	0              
1              	272            	172.6831048°E  	43.7453858°S   	0              
1              	273            	172.6819218°E  	43.7481353°S   	0              
1              	274            	172.6807129°E  	43.7557552°S   	0              
1              	275            	172.6780700°E  	43.7582889°S   	0              
1              	276            	172.6742778°E  	43.7572194°S   	0              
1              	277            	172.6672486°E  	43.7603755°S   	0              
1              	278            	172.6605133°E  	43.7631085°S   	0              
1              	279            	172.6549461°E  	43.7658446°S   	0              
1              	280            	172.6528898°E  	43.7677442°S   	0              
1              	281            	172.6505399°E  	43.7698546°S   	0              
1              	282            	172.6484758°E  	43.7730246°S   	0              
1              	283            	172.6464178°E  	43.7751359°S   	0              
1              	284            	172.6461443°E  	43.7719587°S   	0              
1              	285            	172.6476252°E  	43.7685751°S   	0              
1              	286            	172.6482245°E  	43.7660359°S   	0              
1              	287            	172.6499987°E  	43.7624415°S   	0              
1              	288            	172.6523544°E  	43.7592723°S   	0              
1              	289            	172.6485527°E  	43.7598960°S   	0              
1              	290            	172.6461967°E  	43.7630651°S   	0              
1              	291            	172.6415168°E  	43.7638975°S   	0              
1              	292            	172.6391870°E  	43.7626196°S   	0              
1              	293            	172.6427107°E  	43.7596661°S   	0              
1              	294            	172.6453552°E  	43.7571333°S   	0              
1              	295            	172.6424375°E  	43.7564889°S   	0              
1              	296            	172.6348276°E  	43.7587942°S   	0              
1              	297            	172.6342601°E  	43.7560395°S   	0              
1              	298            	172.6366164°E  	43.7528707°S   	0              
1              	299            	172.6401397°E  	43.7499172°S   	0              
1              	300            	172.6360591°E  	43.7484220°S   	0              
1              	301            	172.6307934°E  	43.7496757°S   	0              
1              	302            	172.6284304°E  	43.7539031°S   	0              
1              	303            	172.6263630°E  	43.7574963°S   	0              
1              	304            	172.6199184°E  	43.7546798°S   	0              
1              	305            	172.6242390°E  	43.7514415°S   	0              
1              	306            	172.6261221°E  	43.7492793°S   	0              
1              	307            	172.6214466°E  	43.7495350°S   	0              
1              	308            	172.6165781°E  	43.7507385°S   	0              
1              	309            	172.6121184°E  	43.7465222°S   	0              
1              	310            	172.6121359°E  	43.7438117°S   	0              
1              	311            	172.6187000°E  	43.7404457°S   	0              
1              	312            	172.6230213°E  	43.7369364°S   	0              
1              	313            	172.6249082°E  	43.7340966°S   	0              
1              	314            	172.6264186°E  	43.7316621°S   	0              
1              	315            	172.6273656°E  	43.7296323°S   	0              
1              	316            	172.6236262°E  	43.7298911°S   	0              
1              	317            	172.6236398°E  	43.7277227°S   	0              
1              	318            	172.6260810°E  	43.7258334°S   	0              
1              	319            	172.6307621°E  	43.7243578°S   	0              
1              	320            	172.6326109°E  	43.7276164°S   	0              
1              	321            	172.6361773°E  	43.7250528°S   	0              
1              	322            	172.6397547°E  	43.7205918°S   	0              
1              	323            	172.6399659°E  	43.7165267°S   	0              
1              	324            	172.6452216°E  	43.7124774°S   	0              
1              	325            	172.6411064°E  	43.7132777°S   	0              
1              	326            	172.6373508°E  	43.7163829°S   	0              
1              	327            	172.6349202°E  	43.7166463°S   	0              
1              	328            	172.6312082°E  	43.7125686°S   	0              
1              	329            	172.6107713°E  	43.7236139°S   	0              
1              	330            	172.6111581°E  	43.7215823°S   	0              
1              	331            	172.6145608°E  	43.7154952°S   	0              
1              	332            	172.6164551°E  	43.7114358°S   	0              
1              	333            	172.6200203°E  	43.7090083°S   	0              
1              	334            	172.6202260°E  	43.7060274°S   	0              
1              	335            	172.6230418°E  	43.7038683°S   	0              
1              	336            	172.6210108°E  	43.7000669°S   	0              
1              	337            	172.6088277°E  	43.7063955°S   	0              
1              	338            	172.6018617°E  	43.7145030°S   	0              
1              	339            	172.5954854°E  	43.7180043°S   	0              
1              	340            	172.5949048°E  	43.7209838°S   	0              
1              	341            	172.5951197°E  	43.7251631°S   	0              
1              	342            	172.5859677°E  	43.7291007°S   	0              
1              	343            	172.5795800°E  	43.7290774°S   	0              
1              	344            	172.5795985°E  	43.7264305°S   	0              
1              	345            	172.5855776°E  	43.7195040°S   	0              
1              	346            	172.5878812°E  	43.7162036°S   	0              
1              	347            	172.5897262°E  	43.7132324°S   	0              
1              	348            	172.5861021°E  	43.7095798°S   	0              
1              	349            	172.5824440°E  	43.7108899°S   	0              
1              	350            	172.5773778°E  	43.7178196°S   	0              
1              	351            	172.5728560°E  	43.7121780°S   	0              
1              	352            	172.5683041°E  	43.7108374°S   	0              
1              	353            	172.5642086°E  	43.7094984°S   	0              
1              	354            	172.5674276°E  	43.7058710°S   	0              
1              	355            	172.5624251°E  	43.7038667°S   	0              
1              	356            	172.5729288°E  	43.7019212°S   	0              
1              	357            	172.5788807°E  	43.6986346°S   	0              
1              	358            	172.5766308°E  	43.6943249°S   	0              
1              	359            	172.5679550°E  	43.6959468°S   	0              
1              	360            	172.5583885°E  	43.6945868°S   	0              
1              	361            	172.5639084°E  	43.6879905°S   	0              
1              	362            	172.5585350°E  	43.6861545°S   	0              
1              	363            	172.5596703°E  	43.6841260°S   	0              
1              	364            	172.5617393°E  	43.6821011°S   	0              
1              	365            	172.5596931°E  	43.6810090°S   	0              
